"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 24 12:05:54 GMT 2021","Tue Aug 24 12:06:00 GMT 2021","5299","","LoginPageTest","","LoginPageTest","LoginWithUnregisteredEmailTest","LOGIN-03: Bejelentkezés nem regisztrált email-címmel",""
"passed","Tue Aug 24 12:07:05 GMT 2021","Tue Aug 24 12:07:10 GMT 2021","5117","","RegisterPageTest","","RegisterPageTest","RegisterWithMismatchedPasswordTest","REG-04: Regisztráció nem egyező jelszavakkal",""
"passed","Tue Aug 24 12:06:38 GMT 2021","Tue Aug 24 12:06:42 GMT 2021","4067","","RegisterPageTest","","RegisterPageTest","RegisterAlreadyExistingUserTest","REG-08: Regisztráció már létező felhasználóval",""
"passed","Tue Aug 24 12:06:18 GMT 2021","Tue Aug 24 12:06:26 GMT 2021","7770","","CalendarPageTest","","CalendarPageTest","LogoutWithDuplicateLoginTest","LOGOUT-02: Kijelentkezés második felhasználó bejelentkezése esetén",""
"passed","Tue Aug 24 12:05:44 GMT 2021","Tue Aug 24 12:05:47 GMT 2021","3401","","LoginPageTest","","LoginPageTest","EmptyLoginTest","LOGIN-02: Bejelentkezés üres mezőkkel",""
"passed","Tue Aug 24 12:06:03 GMT 2021","Tue Aug 24 12:06:07 GMT 2021","3861","","LoginPageTest","","LoginPageTest","LoginWithIncorrectPasswordTest","LOGIN-07: Bejelentkezés helytelen jelszóval",""
"passed","Tue Aug 24 12:08:26 GMT 2021","Tue Aug 24 12:08:32 GMT 2021","6126","","ProfilePageTest","","ProfilePageTest","ModifyIntroductionTest","DATA-02: Meglévő adat módosítása",""
"passed","Tue Aug 24 12:07:16 GMT 2021","Tue Aug 24 12:07:20 GMT 2021","3653","","RegisterPageTest","","RegisterPageTest","RegisterWithInvalidEmailTest","REG-02: Regisztráció invalid email-címmel",""
"passed","Tue Aug 24 12:07:20 GMT 2021","Tue Aug 24 12:07:25 GMT 2021","5564","","RegisterPageTest","","RegisterPageTest","RegisterWithoutAcceptingTermsAndConditionsTest","REG-07: Regisztráció ÁSZF elfogadása nélkül",""
"skipped","Tue Aug 24 12:07:16 GMT 2021","Tue Aug 24 12:07:16 GMT 2021","0","","RegisterPageTest","","RegisterPageTest","CheckingPrivacyPolicyTest","T&C-02: Adatvédelmi feltételek meglétének ellenőrzése",""
"failed","Tue Aug 24 12:06:33 GMT 2021","Tue Aug 24 12:06:38 GMT 2021","5036","","TrainersPageTest","","TrainersPageTest","SearchForTrainersTest","SEARCH-01: Adatok listázása kereséssel",""
