"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 24 12:19:17 GMT 2021","Tue Aug 24 12:19:20 GMT 2021","2625","","LoginPageTest","","LoginPageTest","LoginTest","LOGIN-01: Normál bejelentkezés",""
"passed","Tue Aug 24 12:20:24 GMT 2021","Tue Aug 24 12:20:27 GMT 2021","3351","","RegisterPageTest","","RegisterPageTest","RegisterWithoutAcceptingTermsAndConditionsTest","REG-07: Regisztráció ÁSZF elfogadása nélkül",""
"passed","Tue Aug 24 12:19:10 GMT 2021","Tue Aug 24 12:19:12 GMT 2021","2265","","LoginPageTest","","LoginPageTest","LoginWithoutUsernameTest","LOGIN-05: Bejelentkezés felhasználónév megadása nélkül",""
"passed","Tue Aug 24 12:21:22 GMT 2021","Tue Aug 24 12:21:26 GMT 2021","4651","","ProfilePageTest","","ProfilePageTest","ModifyIntroductionTest","DATA-02: Meglévő adat módosítása",""
"passed","Tue Aug 24 12:21:34 GMT 2021","Tue Aug 24 12:21:39 GMT 2021","4708","","ProfilePageTest","","ProfilePageTest","AddIntroductionTest","DATA-01: Új adat bevitele a bemutatkozás mezőbe",""
"passed","Tue Aug 24 12:19:30 GMT 2021","Tue Aug 24 12:19:38 GMT 2021","8031","","CalendarPageTest","","CalendarPageTest","LogoutWithDuplicateLoginTest","LOGOUT-02: Kijelentkezés második felhasználó bejelentkezése esetén",""
"passed","Tue Aug 24 12:19:05 GMT 2021","Tue Aug 24 12:19:07 GMT 2021","2239","","LoginPageTest","","LoginPageTest","EmptyLoginTest","LOGIN-02: Bejelentkezés üres mezőkkel",""
"passed","Tue Aug 24 12:21:29 GMT 2021","Tue Aug 24 12:21:34 GMT 2021","4341","","ProfilePageTest","","ProfilePageTest","DeleteIntroductionTest","DATA-03: Meglévő adat törlése",""
"passed","Tue Aug 24 12:20:27 GMT 2021","Tue Aug 24 12:20:30 GMT 2021","3105","","RegisterPageTest","","RegisterPageTest","RegisterWithoutAcceptingTermsAndConditionsAndPrivacyPolicyTest","REG-05: Regisztráció ÁSZF és adatvédelmi feltételek elfogadása nélkül",""
"passed","Tue Aug 24 12:20:13 GMT 2021","Tue Aug 24 12:20:18 GMT 2021","4346","","RegisterPageTest","","RegisterPageTest","RegisterWithMismatchedPasswordTest","REG-04: Regisztráció nem egyező jelszavakkal",""
"passed","Tue Aug 24 12:19:12 GMT 2021","Tue Aug 24 12:19:17 GMT 2021","4808","","LoginPageTest","","LoginPageTest","LoginWithUnregisteredEmailTest","LOGIN-03: Bejelentkezés nem regisztrált email-címmel",""
"passed","Tue Aug 24 12:20:30 GMT 2021","Tue Aug 24 12:20:34 GMT 2021","3842","","RegisterPageTest","","RegisterPageTest","RegisterWithoutAcceptingPrivacyPolicyTest","REG-06: Regisztráció adatvédelmi feltételek elfogadása nélkül",""
"passed","Tue Aug 24 12:20:34 GMT 2021","Tue Aug 24 12:20:56 GMT 2021","22088","","RegisterPageTest","","RegisterPageTest","AcceptCookiesTest","T&C-03: Cookie-k elfogadása",""
"passed","Tue Aug 24 12:19:22 GMT 2021","Tue Aug 24 12:19:30 GMT 2021","7293","","CalendarPageTest","","CalendarPageTest","LogoutWhenLoggingOutOnDifferentTabTest","LOGOUT-03: Kijelentkezés másik fülön való kijelentkezés után",""
"passed","Tue Aug 24 12:19:43 GMT 2021","Tue Aug 24 12:19:48 GMT 2021","5170","","TrainersPageTest","","TrainersPageTest","SearchForTrainersTest","SEARCH-01: Adatok listázása kereséssel",""
"passed","Tue Aug 24 12:19:51 GMT 2021","Tue Aug 24 12:20:13 GMT 2021","22630","","RegisterPageTest","","RegisterPageTest","RegisterHappyPathTest","REG-01: Normál regisztráció",""
