"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Aug 22 21:36:45 GMT 2021","Sun Aug 22 21:36:50 GMT 2021","5254","","RegisterPageTest","","RegisterPageTest","RegisterWithMismatchedPasswordTest","REG-04: Regisztráció nem egyező jelszavakkal",""
"passed","Sun Aug 22 21:30:56 GMT 2021","Sun Aug 22 21:31:00 GMT 2021","4278","","CalendarPageTest","","CalendarPageTest","LogoutTest","LOGOUT-01: Kijelentkezés kattintással",""
"passed","Sun Aug 22 21:42:13 GMT 2021","Sun Aug 22 21:42:17 GMT 2021","4749","","RegisterPageTest","","RegisterPageTest","RegisterWithoutAcceptingPrivacyPolicyTest","REG-06: Regisztráció adatvédelmi feltételek elfogadása nélkül",""
"passed","Sun Aug 22 21:42:08 GMT 2021","Sun Aug 22 21:42:13 GMT 2021","4594","","RegisterPageTest","","RegisterPageTest","RegisterWithoutAcceptingTermsAndConditionsAndPrivacyPolicyTest","REG-05: Regisztráció ÁSZF és adatvédelmi feltételek elfogadása nélkül",""
"passed","Sun Aug 22 21:30:20 GMT 2021","Sun Aug 22 21:30:23 GMT 2021","3329","","LoginPageTest","","LoginPageTest","LoginWithoutUsernameTest","LOGIN-05: Bejelentkezés felhasználónév megadása nélkül",""
"passed","Sun Aug 22 21:42:17 GMT 2021","Sun Aug 22 21:42:41 GMT 2021","23172","","RegisterPageTest","","RegisterPageTest","AcceptCookiesTest","T&C-03: Cookie-k elfogadása",""
"passed","Sun Aug 22 21:42:41 GMT 2021","Sun Aug 22 21:43:08 GMT 2021","26983","","ReportsPageTest","","ReportsPageTest","CountReportsTest","LIST-01: Többoldalas lista bejárása",""
"passed","Sun Aug 22 21:36:50 GMT 2021","Sun Aug 22 21:36:56 GMT 2021","5858","","RegisterPageTest","","RegisterPageTest","RegisterWithInvalidPasswordTest","REG-03: Regisztráció érvénytelen jelszóval",""
"passed","Sun Aug 22 21:43:13 GMT 2021","Sun Aug 22 21:43:19 GMT 2021","5547","","ProfilePageTest","","ProfilePageTest","DeleteIntroductionTest","DATA-03: Meglévő adat törlése",""
"broken","Sun Aug 22 21:31:12 GMT 2021","Sun Aug 22 21:36:15 GMT 2021","303333","","RegisterPageTest","","RegisterPageTest","CheckingTermsAndConditionsTest","T&C-01: Általános felhasználási feltételek meglétének ellenőrzése",""
"passed","Sun Aug 22 21:42:03 GMT 2021","Sun Aug 22 21:42:08 GMT 2021","5214","","RegisterPageTest","","RegisterPageTest","RegisterWithoutAcceptingTermsAndConditionsTest","REG-07: Regisztráció ÁSZF elfogadása nélkül",""
"passed","Sun Aug 22 21:30:47 GMT 2021","Sun Aug 22 21:30:56 GMT 2021","8699","","CalendarPageTest","","CalendarPageTest","LogoutWithDuplicateLoginTest","LOGOUT-02: Kijelentkezés második felhasználó bejelentkezése esetén",""
"broken","Sun Aug 22 21:36:56 GMT 2021","Sun Aug 22 21:41:59 GMT 2021","303333","","RegisterPageTest","","RegisterPageTest","CheckingPrivacyPolicyTest","T&C-02: Adatvédelmi feltételek meglétének ellenőrzése",""
"passed","Sun Aug 22 21:30:37 GMT 2021","Sun Aug 22 21:30:47 GMT 2021","10803","","CalendarPageTest","","CalendarPageTest","LogoutWhenLoggingOutOnDifferentTabTest","LOGOUT-03: Kijelentkezés másik fülön való kijelentkezés után",""
"passed","Sun Aug 22 21:30:13 GMT 2021","Sun Aug 22 21:30:16 GMT 2021","3000","","LoginPageTest","","LoginPageTest","EmptyLoginTest","LOGIN-02: Bejelentkezés üres mezőkkel",""
"passed","Sun Aug 22 21:30:23 GMT 2021","Sun Aug 22 21:30:29 GMT 2021","5786","","LoginPageTest","","LoginPageTest","LoginWithUnregisteredEmailTest","LOGIN-03: Bejelentkezés nem regisztrált email-címmel",""
"passed","Sun Aug 22 21:30:29 GMT 2021","Sun Aug 22 21:30:33 GMT 2021","4006","","LoginPageTest","","LoginPageTest","LoginTest","LOGIN-01: Normál bejelentkezés",""
"passed","Sun Aug 22 21:36:15 GMT 2021","Sun Aug 22 21:36:45 GMT 2021","30017","","RegisterPageTest","","RegisterPageTest","RegisterHappyPathTest","REG-01: Normál regisztráció",""
"passed","Sun Aug 22 21:30:06 GMT 2021","Sun Aug 22 21:30:13 GMT 2021","7265","","LoginPageTest","","LoginPageTest","LoginWithUnconfirmedEmailTest","LOGIN-04: Bejelentkezés regisztrált, de nem megerősített email-címmel",""
"passed","Sun Aug 22 21:31:04 GMT 2021","Sun Aug 22 21:31:07 GMT 2021","3745","","TrainersPageTest","","TrainersPageTest","SearchForTrainersTest","SEARCH-01: Adatok listázása kereséssel",""
"passed","Sun Aug 22 21:30:33 GMT 2021","Sun Aug 22 21:30:37 GMT 2021","3705","","LoginPageTest","","LoginPageTest","LoginWithIncorrectPasswordTest","LOGIN-07: Bejelentkezés helytelen jelszóval",""
"broken","Sun Aug 22 21:43:19 GMT 2021","Sun Aug 22 21:43:22 GMT 2021","3198","","ProfilePageTest","","ProfilePageTest","AddIntroductionTest","DATA-01: Új adat bevitele a bemutatkozás mezőbe",""
"passed","Sun Aug 22 21:31:07 GMT 2021","Sun Aug 22 21:31:12 GMT 2021","4089","","RegisterPageTest","","RegisterPageTest","RegisterAlreadyExistingUserTest","REG-08: Regisztráció már létező felhasználóval",""
"passed","Sun Aug 22 21:30:17 GMT 2021","Sun Aug 22 21:30:20 GMT 2021","3183","","LoginPageTest","","LoginPageTest","LoginWithoutPasswordTest","LOGIN-06: Bejelentkezés jelszó megadása nélkül",""
"passed","Sun Aug 22 21:43:08 GMT 2021","Sun Aug 22 21:43:13 GMT 2021","5734","","ProfilePageTest","","ProfilePageTest","ModifyIntroductionTest","DATA-02: Meglévő adat módosítása",""
"passed","Sun Aug 22 21:31:00 GMT 2021","Sun Aug 22 21:31:04 GMT 2021","3328","","TrainersPageTest","","TrainersPageTest","SaveTrainersToFileTest","SEARCH-02: Edzők neveinek mentése txt fájlba",""
"passed","Sun Aug 22 21:41:59 GMT 2021","Sun Aug 22 21:42:03 GMT 2021","3542","","RegisterPageTest","","RegisterPageTest","RegisterWithInvalidEmailTest","REG-02: Regisztráció invalid email-címmel",""
