"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 24 11:34:01 GMT 2021","Tue Aug 24 11:34:30 GMT 2021","29056","","RegisterPageTest","","RegisterPageTest","RegisterHappyPathTest","REG-01: Normál regisztráció",""
"passed","Tue Aug 24 11:33:49 GMT 2021","Tue Aug 24 11:33:52 GMT 2021","2930","","CalendarPageTest","","CalendarPageTest","LogoutTest","LOGOUT-01: Kijelentkezés kattintással",""
"passed","Tue Aug 24 11:35:45 GMT 2021","Tue Aug 24 11:35:50 GMT 2021","4654","","ProfilePageTest","","ProfilePageTest","AddCompanyDataTest","DATA-04: Adatok sorozatos feltöltése külső fájlból",""
"passed","Tue Aug 24 11:35:16 GMT 2021","Tue Aug 24 11:35:41 GMT 2021","24919","","ReportsPageTest","","ReportsPageTest","CountReportsTest","LIST-01: Többoldalas lista bejárása",""
"passed","Tue Aug 24 11:33:16 GMT 2021","Tue Aug 24 11:33:20 GMT 2021","4913","","LoginPageTest","","LoginPageTest","LoginWithUnconfirmedEmailTest","LOGIN-04: Bejelentkezés regisztrált, de nem megerősített email-címmel",""
"passed","Tue Aug 24 11:33:59 GMT 2021","Tue Aug 24 11:34:01 GMT 2021","2617","","RegisterPageTest","","RegisterPageTest","RegisterAlreadyExistingUserTest","REG-08: Regisztráció már létező felhasználóval",""
"passed","Tue Aug 24 11:33:21 GMT 2021","Tue Aug 24 11:33:22 GMT 2021","1897","","LoginPageTest","","LoginPageTest","EmptyLoginTest","LOGIN-02: Bejelentkezés üres mezőkkel",""
"passed","Tue Aug 24 11:33:52 GMT 2021","Tue Aug 24 11:33:54 GMT 2021","2125","","TrainersPageTest","","TrainersPageTest","SaveTrainersToFileTest","SEARCH-02: Edzők neveinek mentése txt fájlba",""
"passed","Tue Aug 24 11:34:33 GMT 2021","Tue Aug 24 11:34:37 GMT 2021","3030","","RegisterPageTest","","RegisterPageTest","RegisterWithInvalidPasswordTest","REG-03: Regisztráció érvénytelen jelszóval",""
"skipped","Tue Aug 24 11:34:37 GMT 2021","Tue Aug 24 11:34:37 GMT 2021","0","","RegisterPageTest","","RegisterPageTest","CheckingPrivacyPolicyTest","T&C-02: Adatvédelmi feltételek meglétének ellenőrzése",""
