"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 23 08:50:30 GMT 2021","Mon Aug 23 08:50:36 GMT 2021","6369","","CalendarPageTest","","CalendarPageTest","LogoutWithDuplicateLoginTest","LOGOUT-02: Kijelentkezés második felhasználó bejelentkezése esetén",""
"passed","Mon Aug 23 08:50:36 GMT 2021","Mon Aug 23 08:50:39 GMT 2021","3484","","CalendarPageTest","","CalendarPageTest","LogoutTest","LOGOUT-01: Kijelentkezés kattintással",""
"passed","Mon Aug 23 08:51:22 GMT 2021","Mon Aug 23 08:51:25 GMT 2021","3282","","RegisterPageTest","","RegisterPageTest","RegisterWithInvalidEmailTest","REG-02: Regisztráció invalid email-címmel",""
"passed","Mon Aug 23 08:50:08 GMT 2021","Mon Aug 23 08:50:14 GMT 2021","6036","","LoginPageTest","","LoginPageTest","LoginWithUnregisteredEmailTest","LOGIN-03: Bejelentkezés nem regisztrált email-címmel",""
"passed","Mon Aug 23 08:52:03 GMT 2021","Mon Aug 23 08:52:31 GMT 2021","27766","","ReportsPageTest","","ReportsPageTest","CountReportsTest","LIST-01: Többoldalas lista bejárása",""
"passed","Mon Aug 23 08:51:25 GMT 2021","Mon Aug 23 08:51:31 GMT 2021","5423","","RegisterPageTest","","RegisterPageTest","RegisterWithoutAcceptingTermsAndConditionsTest","REG-07: Regisztráció ÁSZF elfogadása nélkül",""
"passed","Mon Aug 23 08:51:31 GMT 2021","Mon Aug 23 08:51:36 GMT 2021","4757","","RegisterPageTest","","RegisterPageTest","RegisterWithoutAcceptingTermsAndConditionsAndPrivacyPolicyTest","REG-05: Regisztráció ÁSZF és adatvédelmi feltételek elfogadása nélkül",""
"passed","Mon Aug 23 08:52:31 GMT 2021","Mon Aug 23 08:52:36 GMT 2021","5409","","ProfilePageTest","","ProfilePageTest","ModifyIntroductionTest","DATA-02: Meglévő adat módosítása",""
"passed","Mon Aug 23 08:50:42 GMT 2021","Mon Aug 23 08:50:46 GMT 2021","3447","","TrainersPageTest","","TrainersPageTest","SearchForTrainersTest","SEARCH-01: Adatok listázása kereséssel",""
"passed","Mon Aug 23 08:50:14 GMT 2021","Mon Aug 23 08:50:18 GMT 2021","4062","","LoginPageTest","","LoginPageTest","LoginTest","LOGIN-01: Normál bejelentkezés",""
