"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 23 08:54:17 GMT 2021","Mon Aug 23 08:54:21 GMT 2021","3766","","LoginPageTest","","LoginPageTest","LoginTest","LOGIN-01: Normál bejelentkezés",""
"passed","Mon Aug 23 08:55:20 GMT 2021","Mon Aug 23 08:55:26 GMT 2021","6264","","RegisterPageTest","","RegisterPageTest","RegisterWithoutAcceptingPrivacyPolicyTest","REG-06: Regisztráció adatvédelmi feltételek elfogadása nélkül",""
"passed","Mon Aug 23 08:55:26 GMT 2021","Mon Aug 23 08:55:49 GMT 2021","22881","","RegisterPageTest","","RegisterPageTest","AcceptCookiesTest","T&C-03: Cookie-k elfogadása",""
"broken","Mon Aug 23 08:56:23 GMT 2021","Mon Aug 23 08:56:28 GMT 2021","4647","","ProfilePageTest","","ProfilePageTest","AddCompanyDataTest","DATA-04: Adatok sorozatos feltöltése külső fájlból",""
"passed","Mon Aug 23 08:54:28 GMT 2021","Mon Aug 23 08:54:31 GMT 2021","3458","","TrainersPageTest","","TrainersPageTest","SearchForTrainersTest","SEARCH-01: Adatok listázása kereséssel",""
"passed","Mon Aug 23 08:54:31 GMT 2021","Mon Aug 23 08:54:35 GMT 2021","3639","","RegisterPageTest","","RegisterPageTest","RegisterAlreadyExistingUserTest","REG-08: Regisztráció már létező felhasználóval",""
"passed","Mon Aug 23 08:55:07 GMT 2021","Mon Aug 23 08:55:11 GMT 2021","3213","","RegisterPageTest","","RegisterPageTest","RegisterWithInvalidEmailTest","REG-02: Regisztráció invalid email-címmel",""
"passed","Mon Aug 23 08:54:06 GMT 2021","Mon Aug 23 08:54:14 GMT 2021","7439","","CalendarPageTest","","CalendarPageTest","LogoutWithDuplicateLoginTest","LOGOUT-02: Kijelentkezés második felhasználó bejelentkezése esetén",""
"passed","Mon Aug 23 08:54:21 GMT 2021","Mon Aug 23 08:54:25 GMT 2021","3513","","LoginPageTest","","LoginPageTest","LoginWithIncorrectPasswordTest","LOGIN-07: Bejelentkezés helytelen jelszóval",""
"passed","Mon Aug 23 08:54:58 GMT 2021","Mon Aug 23 08:55:02 GMT 2021","4637","","RegisterPageTest","","RegisterPageTest","RegisterWithMismatchedPasswordTest","REG-04: Regisztráció nem egyező jelszavakkal",""
"passed","Mon Aug 23 08:54:01 GMT 2021","Mon Aug 23 08:54:05 GMT 2021","3398","","LoginPageTest","","LoginPageTest","EmptyLoginTest","LOGIN-02: Bejelentkezés üres mezőkkel",""
"passed","Mon Aug 23 08:53:52 GMT 2021","Mon Aug 23 08:54:01 GMT 2021","8748","","LoginPageTest","","LoginPageTest","LoginWithUnconfirmedEmailTest","LOGIN-04: Bejelentkezés regisztrált, de nem megerősített email-címmel",""
"passed","Mon Aug 23 08:55:02 GMT 2021","Mon Aug 23 08:55:07 GMT 2021","4881","","RegisterPageTest","","RegisterPageTest","RegisterWithInvalidPasswordTest","REG-03: Regisztráció érvénytelen jelszóval",""
"passed","Mon Aug 23 08:56:17 GMT 2021","Mon Aug 23 08:56:23 GMT 2021","6591","","ProfilePageTest","","ProfilePageTest","ModifyIntroductionTest","DATA-02: Meglévő adat módosítása",""
"passed","Mon Aug 23 08:55:49 GMT 2021","Mon Aug 23 08:56:17 GMT 2021","27549","","ReportsPageTest","","ReportsPageTest","CountReportsTest","LIST-01: Többoldalas lista bejárása",""
"passed","Mon Aug 23 08:54:14 GMT 2021","Mon Aug 23 08:54:18 GMT 2021","4203","","CalendarPageTest","","CalendarPageTest","LogoutTest","LOGOUT-01: Kijelentkezés kattintással",""
"passed","Mon Aug 23 08:54:08 GMT 2021","Mon Aug 23 08:54:12 GMT 2021","3808","","LoginPageTest","","LoginPageTest","LoginWithoutUsernameTest","LOGIN-05: Bejelentkezés felhasználónév megadása nélkül",""
"passed","Mon Aug 23 08:55:11 GMT 2021","Mon Aug 23 08:55:15 GMT 2021","4466","","RegisterPageTest","","RegisterPageTest","RegisterWithoutAcceptingTermsAndConditionsTest","REG-07: Regisztráció ÁSZF elfogadása nélkül",""
"passed","Mon Aug 23 08:56:28 GMT 2021","Mon Aug 23 08:56:33 GMT 2021","5140","","ProfilePageTest","","ProfilePageTest","DeleteIntroductionTest","DATA-03: Meglévő adat törlése",""
"passed","Mon Aug 23 08:55:15 GMT 2021","Mon Aug 23 08:55:20 GMT 2021","4891","","RegisterPageTest","","RegisterPageTest","RegisterWithoutAcceptingTermsAndConditionsAndPrivacyPolicyTest","REG-05: Regisztráció ÁSZF és adatvédelmi feltételek elfogadása nélkül",""
"passed","Mon Aug 23 08:53:52 GMT 2021","Mon Aug 23 08:54:06 GMT 2021","13860","","CalendarPageTest","","CalendarPageTest","LogoutWhenLoggingOutOnDifferentTabTest","LOGOUT-03: Kijelentkezés másik fülön való kijelentkezés után",""
"passed","Mon Aug 23 08:56:33 GMT 2021","Mon Aug 23 08:56:39 GMT 2021","5479","","ProfilePageTest","","ProfilePageTest","AddIntroductionTest","DATA-01: Új adat bevitele a bemutatkozás mezőbe",""
"passed","Mon Aug 23 08:54:35 GMT 2021","Mon Aug 23 08:54:58 GMT 2021","22809","","RegisterPageTest","","RegisterPageTest","RegisterHappyPathTest","REG-01: Normál regisztráció",""
"passed","Mon Aug 23 08:54:25 GMT 2021","Mon Aug 23 08:54:28 GMT 2021","3120","","TrainersPageTest","","TrainersPageTest","SaveTrainersToFileTest","SEARCH-02: Edzők neveinek mentése txt fájlba",""
"passed","Mon Aug 23 08:54:05 GMT 2021","Mon Aug 23 08:54:08 GMT 2021","3159","","LoginPageTest","","LoginPageTest","LoginWithoutPasswordTest","LOGIN-06: Bejelentkezés jelszó megadása nélkül",""
"passed","Mon Aug 23 08:54:12 GMT 2021","Mon Aug 23 08:54:17 GMT 2021","5645","","LoginPageTest","","LoginPageTest","LoginWithUnregisteredEmailTest","LOGIN-03: Bejelentkezés nem regisztrált email-címmel",""
