"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Aug 23 16:48:24 GMT 2021","Mon Aug 23 16:48:24 GMT 2021","0","","RegisterPageTest","","RegisterPageTest","CheckingTermsAndConditionsTest","T&C-01: Általános felhasználási feltételek meglétének ellenőrzése",""
"passed","Mon Aug 23 16:47:56 GMT 2021","Mon Aug 23 16:47:59 GMT 2021","2649","","LoginPageTest","","LoginPageTest","LoginWithIncorrectPasswordTest","LOGIN-07: Bejelentkezés helytelen jelszóval",""
"passed","Mon Aug 23 16:48:24 GMT 2021","Mon Aug 23 16:48:46 GMT 2021","22113","","RegisterPageTest","","RegisterPageTest","RegisterHappyPathTest","REG-01: Normál regisztráció",""
"passed","Mon Aug 23 16:49:52 GMT 2021","Mon Aug 23 16:49:57 GMT 2021","4559","","ProfilePageTest","","ProfilePageTest","ModifyIntroductionTest","DATA-02: Meglévő adat módosítása",""
"passed","Mon Aug 23 16:48:58 GMT 2021","Mon Aug 23 16:49:01 GMT 2021","3107","","RegisterPageTest","","RegisterPageTest","RegisterWithoutAcceptingTermsAndConditionsAndPrivacyPolicyTest","REG-05: Regisztráció ÁSZF és adatvédelmi feltételek elfogadása nélkül",""
"passed","Mon Aug 23 16:48:49 GMT 2021","Mon Aug 23 16:48:53 GMT 2021","3119","","RegisterPageTest","","RegisterPageTest","RegisterWithInvalidPasswordTest","REG-03: Regisztráció érvénytelen jelszóval",""
"passed","Mon Aug 23 16:49:27 GMT 2021","Mon Aug 23 16:49:52 GMT 2021","25726","","ReportsPageTest","","ReportsPageTest","CountReportsTest","LIST-01: Többoldalas lista bejárása",""
"failed","Mon Aug 23 16:48:07 GMT 2021","Mon Aug 23 16:48:13 GMT 2021","6659","","CalendarPageTest","","CalendarPageTest","LogoutWithDuplicateLoginTest","LOGOUT-02: Kijelentkezés második felhasználó bejelentkezése esetén",""
"passed","Mon Aug 23 16:47:48 GMT 2021","Mon Aug 23 16:47:50 GMT 2021","2314","","LoginPageTest","","LoginPageTest","LoginWithoutUsernameTest","LOGIN-05: Bejelentkezés felhasználónév megadása nélkül",""
"passed","Mon Aug 23 16:47:45 GMT 2021","Mon Aug 23 16:47:48 GMT 2021","2346","","LoginPageTest","","LoginPageTest","LoginWithoutPasswordTest","LOGIN-06: Bejelentkezés jelszó megadása nélkül",""
"skipped","Mon Aug 23 16:48:53 GMT 2021","Mon Aug 23 16:48:53 GMT 2021","0","","RegisterPageTest","","RegisterPageTest","CheckingPrivacyPolicyTest","T&C-02: Adatvédelmi feltételek meglétének ellenőrzése",""
"passed","Mon Aug 23 16:48:16 GMT 2021","Mon Aug 23 16:48:18 GMT 2021","2176","","TrainersPageTest","","TrainersPageTest","SaveTrainersToFileTest","SEARCH-02: Edzők neveinek mentése txt fájlba",""
"passed","Mon Aug 23 16:48:18 GMT 2021","Mon Aug 23 16:48:21 GMT 2021","2775","","TrainersPageTest","","TrainersPageTest","SearchForTrainersTest","SEARCH-01: Adatok listázása kereséssel",""
"passed","Mon Aug 23 16:49:57 GMT 2021","Mon Aug 23 16:50:02 GMT 2021","5064","","ProfilePageTest","","ProfilePageTest","AddCompanyDataTest","DATA-04: Adatok sorozatos feltöltése külső fájlból",""
"passed","Mon Aug 23 16:49:04 GMT 2021","Mon Aug 23 16:49:27 GMT 2021","22107","","RegisterPageTest","","RegisterPageTest","AcceptCookiesTest","T&C-03: Cookie-k elfogadása",""
"passed","Mon Aug 23 16:47:43 GMT 2021","Mon Aug 23 16:47:45 GMT 2021","2083","","LoginPageTest","","LoginPageTest","EmptyLoginTest","LOGIN-02: Bejelentkezés üres mezőkkel",""
"passed","Mon Aug 23 16:49:01 GMT 2021","Mon Aug 23 16:49:04 GMT 2021","3213","","RegisterPageTest","","RegisterPageTest","RegisterWithoutAcceptingPrivacyPolicyTest","REG-06: Regisztráció adatvédelmi feltételek elfogadása nélkül",""
"passed","Mon Aug 23 16:48:21 GMT 2021","Mon Aug 23 16:48:24 GMT 2021","2651","","RegisterPageTest","","RegisterPageTest","RegisterAlreadyExistingUserTest","REG-08: Regisztráció már létező felhasználóval",""
"passed","Mon Aug 23 16:48:46 GMT 2021","Mon Aug 23 16:48:49 GMT 2021","3415","","RegisterPageTest","","RegisterPageTest","RegisterWithMismatchedPasswordTest","REG-04: Regisztráció nem egyező jelszavakkal",""
"passed","Mon Aug 23 16:47:53 GMT 2021","Mon Aug 23 16:47:56 GMT 2021","2665","","LoginPageTest","","LoginPageTest","LoginTest","LOGIN-01: Normál bejelentkezés",""
"passed","Mon Aug 23 16:50:02 GMT 2021","Mon Aug 23 16:50:06 GMT 2021","4188","","ProfilePageTest","","ProfilePageTest","DeleteIntroductionTest","DATA-03: Meglévő adat törlése",""
"passed","Mon Aug 23 16:47:38 GMT 2021","Mon Aug 23 16:47:43 GMT 2021","5504","","LoginPageTest","","LoginPageTest","LoginWithUnconfirmedEmailTest","LOGIN-04: Bejelentkezés regisztrált, de nem megerősített email-címmel",""
"passed","Mon Aug 23 16:48:53 GMT 2021","Mon Aug 23 16:48:55 GMT 2021","2404","","RegisterPageTest","","RegisterPageTest","RegisterWithInvalidEmailTest","REG-02: Regisztráció invalid email-címmel",""
