"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 20 17:44:23 GMT 2021","Fri Aug 20 17:44:29 GMT 2021","6036","","LoginPageTest","","LoginPageTest","LoginWithUnregisteredEmail","LoginWithUnregisteredEmail()",""
"passed","Fri Aug 20 17:44:33 GMT 2021","Fri Aug 20 17:44:37 GMT 2021","4049","","LoginPageTest","","LoginPageTest","LoginWithIncorrectPassword","LoginWithIncorrectPassword()",""
"passed","Fri Aug 20 17:45:11 GMT 2021","Fri Aug 20 17:45:16 GMT 2021","4735","","RegisterPageTest","","RegisterPageTest","RegisterWithoutAcceptingTermsAndConditionsAndPrivacyPolicyTest","REG-05: Regisztráció ÁSZF és adatvédelmi feltételek elfogadása nélkül",""
"passed","Fri Aug 20 17:44:29 GMT 2021","Fri Aug 20 17:44:33 GMT 2021","3840","","LoginPageTest","","LoginPageTest","LoginWithUnconfirmedEmail","LoginWithUnconfirmedEmail()",""
"passed","Fri Aug 20 17:44:43 GMT 2021","Fri Aug 20 17:44:46 GMT 2021","3052","","LoginPageTest","","LoginPageTest","LoginWithoutPassword","LoginWithoutPassword()",""
"passed","Fri Aug 20 17:44:37 GMT 2021","Fri Aug 20 17:44:40 GMT 2021","3065","","LoginPageTest","","LoginPageTest","EmptyLoginTest","EmptyLoginTest()",""
"passed","Fri Aug 20 17:44:40 GMT 2021","Fri Aug 20 17:44:43 GMT 2021","3171","","LoginPageTest","","LoginPageTest","LoginTest","LoginTest()",""
"passed","Fri Aug 20 17:45:02 GMT 2021","Fri Aug 20 17:45:05 GMT 2021","3333","","RegisterPageTest","","RegisterPageTest","RegisterWithInvalidEmailTest","REG-02: Regisztráció invalid email-címmel",""
"passed","Fri Aug 20 17:45:05 GMT 2021","Fri Aug 20 17:45:11 GMT 2021","5480","","RegisterPageTest","","RegisterPageTest","RegisterWithoutAcceptingTermsAndConditionsTest","REG-07: Regisztráció ÁSZF elfogadása nélkül",""
"passed","Fri Aug 20 17:44:29 GMT 2021","Fri Aug 20 17:44:52 GMT 2021","22949","","RegisterPageTest","","RegisterPageTest","RegisterHappyPathTest","REG-01: Normál regisztráció",""
"passed","Fri Aug 20 17:44:57 GMT 2021","Fri Aug 20 17:45:02 GMT 2021","4965","","RegisterPageTest","","RegisterPageTest","RegisterWithInvalidPasswordTest","REG-03: Regisztráció érvénytelen jelszóval",""
"passed","Fri Aug 20 17:44:23 GMT 2021","Fri Aug 20 17:44:29 GMT 2021","5964","","RegisterPageTest","","RegisterPageTest","RegisterAlreadyExistingUserTest","REG-08: Regisztráció már létező felhasználóval",""
"passed","Fri Aug 20 17:44:52 GMT 2021","Fri Aug 20 17:44:57 GMT 2021","4919","","RegisterPageTest","","RegisterPageTest","RegisterWithMismatchedPasswordTest","REG-04: Regisztráció nem egyező jelszavakkal",""
"passed","Fri Aug 20 17:45:16 GMT 2021","Fri Aug 20 17:45:20 GMT 2021","4634","","RegisterPageTest","","RegisterPageTest","RegisterWithoutAcceptingPrivacyPolicyTest","REG-06: Regisztráció adatvédelmi feltételek elfogadása nélkül",""
