"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 24 11:52:54 GMT 2021","Tue Aug 24 11:52:57 GMT 2021","2948","","RegisterPageTest","","RegisterPageTest","RegisterWithoutAcceptingTermsAndConditionsTest","REG-07: Regisztráció ÁSZF elfogadása nélkül",""
"passed","Tue Aug 24 11:52:45 GMT 2021","Tue Aug 24 11:52:48 GMT 2021","3005","","RegisterPageTest","","RegisterPageTest","RegisterWithMismatchedPasswordTest","REG-04: Regisztráció nem egyező jelszavakkal",""
"passed","Tue Aug 24 11:53:02 GMT 2021","Tue Aug 24 11:53:24 GMT 2021","21986","","RegisterPageTest","","RegisterPageTest","AcceptCookiesTest","T&C-03: Cookie-k elfogadása",""
"passed","Tue Aug 24 11:53:50 GMT 2021","Tue Aug 24 11:53:54 GMT 2021","3884","","ProfilePageTest","","ProfilePageTest","ModifyIntroductionTest","DATA-02: Meglévő adat módosítása",""
"passed","Tue Aug 24 11:53:54 GMT 2021","Tue Aug 24 11:53:58 GMT 2021","4412","","ProfilePageTest","","ProfilePageTest","AddCompanyDataTest","DATA-04: Adatok sorozatos feltöltése külső fájlból",""
"passed","Tue Aug 24 11:51:55 GMT 2021","Tue Aug 24 11:51:57 GMT 2021","2563","","LoginPageTest","","LoginPageTest","LoginTest","LOGIN-01: Normál bejelentkezés",""
"skipped","Tue Aug 24 11:52:23 GMT 2021","Tue Aug 24 11:52:23 GMT 2021","0","","RegisterPageTest","","RegisterPageTest","CheckingTermsAndConditionsTest","T&C-01: Általános felhasználási feltételek meglétének ellenőrzése",""
"passed","Tue Aug 24 11:51:45 GMT 2021","Tue Aug 24 11:51:46 GMT 2021","1911","","LoginPageTest","","LoginPageTest","EmptyLoginTest","LOGIN-02: Bejelentkezés üres mezőkkel",""
"passed","Tue Aug 24 11:52:15 GMT 2021","Tue Aug 24 11:52:17 GMT 2021","2092","","TrainersPageTest","","TrainersPageTest","SaveTrainersToFileTest","SEARCH-02: Edzők neveinek mentése txt fájlba",""
"passed","Tue Aug 24 11:52:51 GMT 2021","Tue Aug 24 11:52:54 GMT 2021","2233","","RegisterPageTest","","RegisterPageTest","RegisterWithInvalidEmailTest","REG-02: Regisztráció invalid email-címmel",""
"passed","Tue Aug 24 11:52:21 GMT 2021","Tue Aug 24 11:52:23 GMT 2021","2432","","RegisterPageTest","","RegisterPageTest","RegisterAlreadyExistingUserTest","REG-08: Regisztráció már létező felhasználóval",""
"passed","Tue Aug 24 11:52:12 GMT 2021","Tue Aug 24 11:52:15 GMT 2021","2672","","CalendarPageTest","","CalendarPageTest","LogoutTest","LOGOUT-01: Kijelentkezés kattintással",""
"failed","Tue Aug 24 11:52:06 GMT 2021","Tue Aug 24 11:52:12 GMT 2021","6401","","CalendarPageTest","","CalendarPageTest","LogoutWithDuplicateLoginTest","LOGOUT-02: Kijelentkezés második felhasználó bejelentkezése esetén",""
"passed","Tue Aug 24 11:52:48 GMT 2021","Tue Aug 24 11:52:51 GMT 2021","2966","","RegisterPageTest","","RegisterPageTest","RegisterWithInvalidPasswordTest","REG-03: Regisztráció érvénytelen jelszóval",""
"skipped","Tue Aug 24 11:52:51 GMT 2021","Tue Aug 24 11:52:51 GMT 2021","0","","RegisterPageTest","","RegisterPageTest","CheckingPrivacyPolicyTest","T&C-02: Adatvédelmi feltételek meglétének ellenőrzése",""
"passed","Tue Aug 24 11:51:51 GMT 2021","Tue Aug 24 11:51:55 GMT 2021","3576","","LoginPageTest","","LoginPageTest","LoginWithUnregisteredEmailTest","LOGIN-03: Bejelentkezés nem regisztrált email-címmel",""
"passed","Tue Aug 24 11:52:57 GMT 2021","Tue Aug 24 11:52:59 GMT 2021","2872","","RegisterPageTest","","RegisterPageTest","RegisterWithoutAcceptingTermsAndConditionsAndPrivacyPolicyTest","REG-05: Regisztráció ÁSZF és adatvédelmi feltételek elfogadása nélkül",""
"passed","Tue Aug 24 11:51:40 GMT 2021","Tue Aug 24 11:51:44 GMT 2021","4872","","LoginPageTest","","LoginPageTest","LoginWithUnconfirmedEmailTest","LOGIN-04: Bejelentkezés regisztrált, de nem megerősített email-címmel",""
"passed","Tue Aug 24 11:51:49 GMT 2021","Tue Aug 24 11:51:51 GMT 2021","2130","","LoginPageTest","","LoginPageTest","LoginWithoutUsernameTest","LOGIN-05: Bejelentkezés felhasználónév megadása nélkül",""
"passed","Tue Aug 24 11:52:23 GMT 2021","Tue Aug 24 11:52:45 GMT 2021","22027","","RegisterPageTest","","RegisterPageTest","RegisterHappyPathTest","REG-01: Normál regisztráció",""
"passed","Tue Aug 24 11:52:00 GMT 2021","Tue Aug 24 11:52:06 GMT 2021","6036","","CalendarPageTest","","CalendarPageTest","LogoutWhenLoggingOutOnDifferentTabTest","LOGOUT-03: Kijelentkezés másik fülön való kijelentkezés után",""
