"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 24 11:20:18 GMT 2021","Tue Aug 24 11:20:26 GMT 2021","7543","","CalendarPageTest","","CalendarPageTest","LogoutTest","LOGOUT-01: Kijelentkezés kattintással",""
"broken","Tue Aug 24 11:20:18 GMT 2021","Tue Aug 24 11:20:43 GMT 2021","24854","","RegisterPageTest","","RegisterPageTest","RegisterHappyPathTest","REG-01: Normál regisztráció",""
"skipped","Tue Aug 24 11:20:51 GMT 2021","Tue Aug 24 11:20:51 GMT 2021","0","","RegisterPageTest","","RegisterPageTest","CheckingPrivacyPolicyTest","T&C-02: Adatvédelmi feltételek meglétének ellenőrzése",""
"passed","Tue Aug 24 11:20:47 GMT 2021","Tue Aug 24 11:20:51 GMT 2021","4275","","RegisterPageTest","","RegisterPageTest","RegisterWithInvalidPasswordTest","REG-03: Regisztráció érvénytelen jelszóval",""
"passed","Tue Aug 24 11:20:54 GMT 2021","Tue Aug 24 11:20:58 GMT 2021","3958","","RegisterPageTest","","RegisterPageTest","RegisterWithoutAcceptingTermsAndConditionsTest","REG-07: Regisztráció ÁSZF elfogadása nélkül",""
"skipped","Tue Aug 24 11:20:18 GMT 2021","Tue Aug 24 11:20:18 GMT 2021","0","","RegisterPageTest","","RegisterPageTest","CheckingTermsAndConditionsTest","T&C-01: Általános felhasználási feltételek meglétének ellenőrzése",""
"passed","Tue Aug 24 11:20:38 GMT 2021","Tue Aug 24 11:20:45 GMT 2021","7016","","ProfilePageTest","","ProfilePageTest","AddCompanyDataTest","DATA-04: Adatok sorozatos feltöltése külső fájlból",""
"passed","Tue Aug 24 11:19:48 GMT 2021","Tue Aug 24 11:19:51 GMT 2021","2986","","LoginPageTest","","LoginPageTest","LoginWithoutUsernameTest","LOGIN-05: Bejelentkezés felhasználónév megadása nélkül",""
"passed","Tue Aug 24 11:20:58 GMT 2021","Tue Aug 24 11:21:02 GMT 2021","3455","","RegisterPageTest","","RegisterPageTest","RegisterWithoutAcceptingTermsAndConditionsAndPrivacyPolicyTest","REG-05: Regisztráció ÁSZF és adatvédelmi feltételek elfogadása nélkül",""
"passed","Tue Aug 24 11:20:52 GMT 2021","Tue Aug 24 11:20:59 GMT 2021","6814","","ProfilePageTest","","ProfilePageTest","AddIntroductionTest","DATA-01: Új adat bevitele a bemutatkozás mezőbe",""
"passed","Tue Aug 24 11:20:26 GMT 2021","Tue Aug 24 11:20:28 GMT 2021","2436","","TrainersPageTest","","TrainersPageTest","SaveTrainersToFileTest","SEARCH-02: Edzők neveinek mentése txt fájlba",""
"passed","Tue Aug 24 11:20:33 GMT 2021","Tue Aug 24 11:20:38 GMT 2021","5388","","ProfilePageTest","","ProfilePageTest","ModifyIntroductionTest","DATA-02: Meglévő adat módosítása",""
"passed","Tue Aug 24 11:21:02 GMT 2021","Tue Aug 24 11:21:05 GMT 2021","3202","","RegisterPageTest","","RegisterPageTest","RegisterWithoutAcceptingPrivacyPolicyTest","REG-06: Regisztráció adatvédelmi feltételek elfogadása nélkül",""
"passed","Tue Aug 24 11:20:07 GMT 2021","Tue Aug 24 11:20:12 GMT 2021","5309","","LoginPageTest","","LoginPageTest","LoginWithIncorrectPasswordTest","LOGIN-07: Bejelentkezés helytelen jelszóval",""
"passed","Tue Aug 24 11:20:12 GMT 2021","Tue Aug 24 11:20:18 GMT 2021","5529","","RegisterPageTest","","RegisterPageTest","RegisterAlreadyExistingUserTest","REG-08: Regisztráció már létező felhasználóval",""
"passed","Tue Aug 24 11:19:51 GMT 2021","Tue Aug 24 11:19:59 GMT 2021","8252","","LoginPageTest","","LoginPageTest","LoginWithUnregisteredEmailTest","LOGIN-03: Bejelentkezés nem regisztrált email-címmel",""
"failed","Tue Aug 24 11:20:28 GMT 2021","Tue Aug 24 11:20:33 GMT 2021","4668","","TrainersPageTest","","TrainersPageTest","SearchForTrainersTest","SEARCH-01: Adatok listázása kereséssel",""
"passed","Tue Aug 24 11:21:27 GMT 2021","Tue Aug 24 11:21:53 GMT 2021","26073","","ReportsPageTest","","ReportsPageTest","CountReportsTest","LIST-01: Többoldalas lista bejárása",""
"passed","Tue Aug 24 11:19:59 GMT 2021","Tue Aug 24 11:20:07 GMT 2021","8220","","LoginPageTest","","LoginPageTest","LoginTest","LOGIN-01: Normál bejelentkezés",""
"passed","Tue Aug 24 11:19:42 GMT 2021","Tue Aug 24 11:19:44 GMT 2021","2723","","LoginPageTest","","LoginPageTest","EmptyLoginTest","LOGIN-02: Bejelentkezés üres mezőkkel",""
"passed","Tue Aug 24 11:20:45 GMT 2021","Tue Aug 24 11:20:52 GMT 2021","6602","","ProfilePageTest","","ProfilePageTest","DeleteIntroductionTest","DATA-03: Meglévő adat törlése",""
"passed","Tue Aug 24 11:19:34 GMT 2021","Tue Aug 24 11:19:42 GMT 2021","7960","","LoginPageTest","","LoginPageTest","LoginWithUnconfirmedEmailTest","LOGIN-04: Bejelentkezés regisztrált, de nem megerősített email-címmel",""
"broken","Tue Aug 24 11:19:50 GMT 2021","Tue Aug 24 11:20:18 GMT 2021","28184","","CalendarPageTest","","CalendarPageTest","LogoutWithDuplicateLoginTest","LOGOUT-02: Kijelentkezés második felhasználó bejelentkezése esetén",""
"passed","Tue Aug 24 11:19:44 GMT 2021","Tue Aug 24 11:19:48 GMT 2021","3181","","LoginPageTest","","LoginPageTest","LoginWithoutPasswordTest","LOGIN-06: Bejelentkezés jelszó megadása nélkül",""
