"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Aug 22 21:11:53 GMT 2021","Sun Aug 22 21:11:53 GMT 2021","305","","LoginPageTest","","LoginPageTest","EmptyLoginTest","LOGIN-02: Bejelentkezés üres mezőkkel",""
"broken","Sun Aug 22 21:11:57 GMT 2021","Sun Aug 22 21:11:57 GMT 2021","221","","RegisterPageTest","","RegisterPageTest","RegisterWithoutAcceptingTermsAndConditionsAndPrivacyPolicyTest","REG-05: Regisztráció ÁSZF és adatvédelmi feltételek elfogadása nélkül",""
"broken","Sun Aug 22 21:11:57 GMT 2021","Sun Aug 22 21:11:57 GMT 2021","163","","RegisterPageTest","","RegisterPageTest","RegisterWithoutAcceptingPrivacyPolicyTest","REG-06: Regisztráció adatvédelmi feltételek elfogadása nélkül",""
"broken","Sun Aug 22 21:11:55 GMT 2021","Sun Aug 22 21:11:55 GMT 2021","186","","TrainersPageTest","","TrainersPageTest","SaveTrainersToFileTest","SEARCH-02: Edzők neveinek mentése txt fájlba",""
"broken","Sun Aug 22 21:11:56 GMT 2021","Sun Aug 22 21:11:57 GMT 2021","143","","RegisterPageTest","","RegisterPageTest","RegisterWithInvalidEmailTest","REG-02: Regisztráció invalid email-címmel",""
"broken","Sun Aug 22 21:11:53 GMT 2021","Sun Aug 22 21:11:53 GMT 2021","168","","LoginPageTest","","LoginPageTest","LoginWithoutPasswordTest","LOGIN-06: Bejelentkezés jelszó megadása nélkül",""
"broken","Sun Aug 22 21:11:54 GMT 2021","Sun Aug 22 21:11:54 GMT 2021","173","","LoginPageTest","","LoginPageTest","LoginTest","LOGIN-01: Normál bejelentkezés",""
"broken","Sun Aug 22 21:11:56 GMT 2021","Sun Aug 22 21:11:56 GMT 2021","169","","RegisterPageTest","","RegisterPageTest","RegisterHappyPathTest","REG-01: Normál regisztráció",""
"broken","Sun Aug 22 21:11:57 GMT 2021","Sun Aug 22 21:11:57 GMT 2021","172","","RegisterPageTest","","RegisterPageTest","AcceptCookiesTest","T&C-03: Cookie-k elfogadása",""
"broken","Sun Aug 22 21:11:54 GMT 2021","Sun Aug 22 21:11:54 GMT 2021","276","","CalendarPageTest","","CalendarPageTest","LogoutWhenLoggingOutOnDifferentTabTest","LOGOUT-03: Kijelentkezés másik fülön való kijelentkezés után",""
"broken","Sun Aug 22 21:11:53 GMT 2021","Sun Aug 22 21:11:54 GMT 2021","201","","LoginPageTest","","LoginPageTest","LoginWithoutUsernameTest","LOGIN-05: Bejelentkezés felhasználónév megadása nélkül",""
"broken","Sun Aug 22 21:11:57 GMT 2021","Sun Aug 22 21:11:57 GMT 2021","222","","RegisterPageTest","","RegisterPageTest","RegisterWithoutAcceptingTermsAndConditionsTest","REG-07: Regisztráció ÁSZF elfogadása nélkül",""
"broken","Sun Aug 22 21:11:56 GMT 2021","Sun Aug 22 21:11:56 GMT 2021","223","","RegisterPageTest","","RegisterPageTest","CheckingPrivacyPolicyTest","T&C-02: Adatvédelmi feltételek meglétének ellenőrzése",""
"broken","Sun Aug 22 21:11:56 GMT 2021","Sun Aug 22 21:11:56 GMT 2021","190","","RegisterPageTest","","RegisterPageTest","RegisterWithMismatchedPasswordTest","REG-04: Regisztráció nem egyező jelszavakkal",""
"broken","Sun Aug 22 21:11:58 GMT 2021","Sun Aug 22 21:11:58 GMT 2021","141","","ProfilePageTest","","ProfilePageTest","ModifyIntroductionTest","DATA-02: Meglévő adat módosítása",""
"broken","Sun Aug 22 21:11:55 GMT 2021","Sun Aug 22 21:11:55 GMT 2021","214","","CalendarPageTest","","CalendarPageTest","LogoutTest","LOGOUT-01: Kijelentkezés kattintással",""
"broken","Sun Aug 22 21:11:58 GMT 2021","Sun Aug 22 21:11:58 GMT 2021","196","","ProfilePageTest","","ProfilePageTest","DeleteIntroductionTest","DATA-03: Meglévő adat törlése",""
"broken","Sun Aug 22 21:11:58 GMT 2021","Sun Aug 22 21:11:58 GMT 2021","333","","ProfilePageTest","","ProfilePageTest","AddIntroductionTest","DATA-01: Új adat bevitele a bemutatkozás mezőbe",""
"broken","Sun Aug 22 21:11:54 GMT 2021","Sun Aug 22 21:11:55 GMT 2021","202","","CalendarPageTest","","CalendarPageTest","LogoutWithDuplicateLoginTest","LOGOUT-02: Kijelentkezés második felhasználó bejelentkezése esetén",""
"broken","Sun Aug 22 21:11:54 GMT 2021","Sun Aug 22 21:11:54 GMT 2021","179","","LoginPageTest","","LoginPageTest","LoginWithUnregisteredEmailTest","LOGIN-03: Bejelentkezés nem regisztrált email-címmel",""
"broken","Sun Aug 22 21:11:56 GMT 2021","Sun Aug 22 21:11:56 GMT 2021","226","","RegisterPageTest","","RegisterPageTest","RegisterWithInvalidPasswordTest","REG-03: Regisztráció érvénytelen jelszóval",""
"broken","Sun Aug 22 21:11:57 GMT 2021","Sun Aug 22 21:11:58 GMT 2021","349","","ReportsPageTest","","ReportsPageTest","CountReportsTest","LIST-01: Többoldalas lista bejárása",""
"broken","Sun Aug 22 21:11:55 GMT 2021","Sun Aug 22 21:11:55 GMT 2021","238","","RegisterPageTest","","RegisterPageTest","RegisterAlreadyExistingUserTest","REG-08: Regisztráció már létező felhasználóval",""
"broken","Sun Aug 22 21:11:51 GMT 2021","Sun Aug 22 21:11:53 GMT 2021","1396","","LoginPageTest","","LoginPageTest","LoginWithUnconfirmedEmailTest","LOGIN-04: Bejelentkezés regisztrált, de nem megerősített email-címmel",""
"broken","Sun Aug 22 21:11:54 GMT 2021","Sun Aug 22 21:11:54 GMT 2021","193","","LoginPageTest","","LoginPageTest","LoginWithIncorrectPasswordTest","LOGIN-07: Bejelentkezés helytelen jelszóval",""
"broken","Sun Aug 22 21:11:55 GMT 2021","Sun Aug 22 21:11:55 GMT 2021","159","","TrainersPageTest","","TrainersPageTest","SearchForTrainersTest","SEARCH-01: Adatok listázása kereséssel",""
"broken","Sun Aug 22 21:11:55 GMT 2021","Sun Aug 22 21:11:56 GMT 2021","182","","RegisterPageTest","","RegisterPageTest","CheckingTermsAndConditionsTest","T&C-01: Általános felhasználási feltételek meglétének ellenőrzése",""
